position (mm),PC1
90.41,-5.078378691
90.61,-5.163176907
90.81,-3.435505249
91.01,-2.357687677
91.21,-1.752584494
91.41,-1.522353751
91.61,-0.055927048
91.81,0.391581418
92.01,0.10817617
92.21,0.06564828
92.41,0.64506536
92.61,1.792181891
92.81,2.580963819
93.01,3.019773203
93.21,3.752750082
93.41,3.532001067
93.61,3.570119248
93.81,3.383365101
94.01,3.249610347
94.21,3.041519672
94.41,3.172900258
94.61,3.311776394
94.81,2.118855224
95.01,2.558723035
95.21,3.682833852
95.41,3.854455605
95.61,1.015490899
95.81,-0.717081666
96.01,-1.512475935
96.21,-0.828318159
96.41,-0.313641049
96.61,-0.264561507
96.81,0.558633659
97.01,1.393970348
97.21,1.110576638
97.41,-0.582318254
97.61,-1.381403588
97.81,-2.515610668
98.01,-2.269443747
98.21,-2.003249979
98.41,-0.507650183
98.61,0.174771566
98.81,-0.013714911
99.01,0.008623816
99.21,-0.223421499
99.41,-0.526659108
99.61,-1.803499506
99.81,-3.499828536
100.01,-4.137838805
100.21,-4.293410901
100.41,-3.791731112
100.61,-2.489679336
100.81,-0.818447253
101.01,0.165691622
101.21,0.57263461
101.41,0.734144552
101.61,1.415519777
101.81,1.808750792
102.01,2.053648532
102.21,1.574909323
102.41,1.354811838
102.61,0.626419822
102.81,0.6397315
103.01,0.379976837
103.21,0.859262891
103.41,2.300776069
103.61,2.211002217
103.81,0.242775712
104.01,-1.383976559
104.21,-0.236972733
104.41,1.625192791
104.61,2.020239573
104.81,0.620020638
105.01,-0.878102523
105.21,-1.416018161
105.41,-0.236000316
105.61,0.439948517
105.81,0.313328368
106.01,-0.334488604
106.21,0.202944975
106.41,1.188699172
106.61,1.912128367
106.81,2.34759992
107.01,2.370111171
107.21,2.114149719
107.41,0.652080181
107.61,-0.699406284
107.81,-1.129734227
108.01,-1.433065252
108.21,-0.827711091
108.41,-0.261215093
108.61,-0.332635069
108.81,0.568516493
109.01,1.256554314
109.21,0.76228523
109.41,0.198175059
109.61,-0.174591403
109.81,-0.348169487
110.01,-0.428062065
110.21,-0.780061585
110.41,-0.949044447
110.61,-0.106343305
110.81,0.225353005
111.01,-0.723521114
111.21,-0.973148548
111.41,-0.732046143
111.61,-0.144225202
111.81,0.415167618
112.01,1.75877201
112.21,2.281405328
112.41,1.87195532
112.61,0.866053744
112.81,0.599531923
113.01,1.360644397
113.21,2.522043053
113.41,2.643354357
113.61,2.112531178
113.81,1.345915181
114.01,-0.230443423
114.21,-1.729879457
114.41,-3.109986175
114.61,-3.640670769
114.81,-3.060778118
115.01,-1.894690973
115.21,-1.042645653
115.41,-1.599230966
115.61,-3.515644561
115.81,-3.886830103
116.01,-2.181765649
116.21,-0.775624148
116.41,-1.180180173
116.61,-2.292965599
116.81,-3.37552026
117.01,-3.636880756
117.21,-3.602490123
117.41,-3.058655513
117.61,-1.526608667
117.81,-1.197219229
118.01,-1.574411328
118.21,-1.023877941
118.41,0.069249906
118.61,0.361528789
118.81,0.110180926
119.01,0.618440773
119.21,0.243816661
119.41,-0.789295147
119.61,-0.696207885
119.81,-0.436574806
120.01,-0.914843254
120.21,-1.262501439
120.41,-2.233890304
120.61,-3.028588
120.81,-3.746368249
121.01,-4.021780734
121.21,-3.74076597
121.41,-2.762977697
121.61,-1.565892971
121.81,-0.559857709
122.01,0.04121054
122.21,0.314626049
122.41,0.226311173
122.61,0.221750802
122.81,0.296140832
123.01,0.121052739
123.21,0.117995963
123.41,-0.238073214
123.61,0.021893564
123.81,-0.571793499
124.01,-0.992915731
124.21,-1.257771854
124.41,-1.957341363
124.61,-2.191559119
124.81,-1.906537213
125.01,-1.917961448
125.21,-1.376655304
125.41,-0.948935675
125.61,-2.471177406
125.81,-4.055533316
126.01,-4.258433743
126.21,-3.526210824
126.41,-1.457308357
126.61,0.064322211
126.81,0.605399376
127.01,-0.858326009
127.21,-2.104117382
127.41,-2.410682626
127.61,-0.5031464
127.81,0.555438584
128.01,1.349632004
128.21,1.802514911
128.41,1.716691757
128.61,1.903707677
128.81,1.487449932
129.01,1.262737398
129.21,1.48353508
129.41,1.256348182
129.61,0.588512348
129.81,0.839039098
130.01,0.643636891
130.21,0.879719156
130.41,1.15067433
130.61,1.229550156
130.81,1.165799356
131.01,0.276409324
131.21,-0.265193607
131.41,0.203224659
131.61,1.327542615
131.81,1.52337995
132.01,1.608487025
132.21,1.915902649
132.41,1.670720211
132.61,1.508347124
132.81,1.404507474
133.01,1.524484904
133.21,1.402631218
133.41,1.342663302
133.61,1.150309672
133.81,1.065173919
134.01,1.117860879
134.21,0.413310948
134.41,-0.77594356
134.61,-2.254663369
134.81,-3.032761476
135.01,-2.022848332
135.21,0.408018558
135.41,2.733956357
135.61,2.856941847
135.81,2.180069998
136.01,2.15255636
136.21,1.969439947
136.41,1.616696874
136.61,1.337739353
136.81,0.959217354
137.01,0.668459021
137.21,0.56169307
137.41,0.983552327
137.61,2.048467425
137.81,0.622686322
138.01,-1.43815842
138.21,-1.135787408
138.41,0.544040132
138.61,1.019461246
138.81,1.07698036
139.01,1.353352694
139.21,1.623669221
139.41,1.809859346
139.61,1.879855715
139.81,2.162903489
140.01,2.651967809
140.21,2.770269281
140.41,2.498090832
140.61,2.7092624
140.81,3.018916685
141.01,2.891108528
141.21,2.501420807
141.41,2.43207759
141.61,2.715490019
141.81,3.038292428
142.01,2.96625557
142.21,3.035384389
142.41,2.559804879
142.61,1.926400728
142.81,0.857255738
143.01,-0.990934761
143.21,-2.421549766
143.41,-3.072397846
143.61,-2.96482962
143.81,-2.095402947
144.01,-1.040999224
144.21,-1.626265457
144.41,-2.888600517
144.61,-2.06101004
144.81,-1.230064556
145.01,-1.224113348
145.21,-0.817954852
145.41,-0.376441739
145.61,-0.237616009
145.81,-0.94920153
146.01,-0.366145446
146.21,0.245713836
146.41,0.588888389
146.61,1.696518136
146.81,1.334788361
147.01,1.249001701
147.21,1.407331787
147.41,1.723961706
147.61,1.672792109
147.81,1.829395608
148.01,2.141581065
148.21,1.638629973
148.41,1.671278815
148.61,1.234653601
148.81,0.903550457
149.01,0.850691437
149.21,0.499050616
149.41,-0.150901392
149.61,-0.179335582
149.81,-0.468827591
150.01,-0.518520065
150.21,-0.81499676
150.41,0.463251882
150.61,1.43564215
150.81,1.604053874
151.01,1.822169683
151.21,2.651137725
151.41,3.63132576
151.61,4.84920232
151.81,5.346368978
152.01,4.782223302
152.21,4.004478896
152.41,2.580053181
152.61,1.084085757
152.81,-0.49623022
153.01,-1.64067969
153.21,-2.665031084
153.41,-2.267349419
153.61,-1.417753818
153.81,-0.049709966
154.01,1.278650591
154.21,2.145997709
154.41,2.412644828
154.61,2.453867122
154.81,2.530934599
155.01,3.303396654
155.21,2.883093768
155.41,1.556521945
155.61,1.537613939
155.81,1.225807369
156.01,0.950679106
156.21,1.361953243
156.41,1.151449435
156.61,0.388936977
156.81,-1.411468151
157.01,-1.965756092
157.21,-1.611945822
157.41,-2.236217998
157.61,-1.586768806
157.81,0.500029856
158.01,2.179966331
158.21,1.455352958
158.41,-0.511334837
158.61,-3.313344276
158.81,-2.597909227
159.01,0.107904666
159.21,1.866108335
159.41,1.976995002
159.61,1.706145177
159.81,1.454706959
160.01,1.149451287
160.21,1.043682338
160.41,0.614947488
160.61,0.95511426
160.81,0.598849526
161.01,-0.001344831
161.21,-0.335987577
161.41,-2.424501738
161.61,-2.773956797
161.81,-1.213008072
162.01,0.501076754
162.21,0.864595728
162.41,1.062572491
162.61,1.150224621
162.81,1.259620289
163.01,1.230106768
163.21,1.045835995
163.41,0.918233602
163.61,0.659354469
163.81,0.929513065
164.01,1.424690836
164.21,1.611758583
164.41,1.462301856
164.61,1.48467614
164.81,1.508954171
165.01,0.194693975
165.21,-1.239603197
165.41,-2.32957985
165.61,-2.432845283
165.81,-1.552977321
166.01,-0.833832921
166.21,-0.030519455
166.41,0.775783934
166.61,1.019005987
166.81,1.279914295
167.01,1.821318974
167.21,1.5775773
167.41,1.670015015
167.61,1.611712483
167.81,1.703784813
168.01,1.980898838
168.21,1.840323446
168.41,1.89536732
168.61,1.698412871
168.81,1.87935273
169.01,2.590918203
169.21,2.747992629
169.41,2.944105519
169.61,2.699573735
169.81,1.723553871
170.01,0.326960451
170.21,-2.076823249
170.41,-2.773538184
170.61,-2.967184896
170.81,-2.315276196
171.01,-0.618218708
171.21,1.602827729
171.41,3.513314603
171.61,4.008758791
171.81,4.077384799
172.01,4.369344366
172.21,4.681990867
172.41,4.493004808
172.61,4.979492946
172.81,4.760063202
173.01,4.84597021
173.21,4.475938295
173.41,4.406558918
173.61,4.358118486
173.81,3.636144331
174.01,3.615009852
174.21,3.288877303
174.41,3.11597342
174.61,2.58561265
174.81,2.387554869
175.01,2.342213208
175.21,1.872996186
175.41,1.52557455
175.61,1.526423332
175.81,1.162633245
176.01,0.174924928
176.21,-0.932728448
176.41,-0.96206201
176.61,-0.198826158
176.81,1.420093596
177.01,0.720886271
177.21,-1.698944245
177.41,-2.568069029
177.61,-2.219168308
177.81,-1.736709531
178.01,-0.666528465
178.21,0.253288319
178.41,0.215502481
178.61,-0.458557655
178.81,-0.401153918
179.01,-1.193172601
179.21,-0.897160152
179.41,-0.39566978
179.61,0.279820956
179.81,0.353788449
180.01,0.54861672
180.21,-0.207492684
180.41,-1.715949056
180.61,-2.985719521
180.81,-3.12077556
181.01,-2.597310282
181.21,-0.847048141
181.41,0.659442058
181.61,0.181443832
181.81,-0.704506498
182.01,-1.161072157
182.21,-0.760009479
182.41,0.425679995
182.61,1.458911827
182.81,0.328823104
183.01,-1.066261967
183.21,-1.086961693
183.41,0.357482304
183.61,0.667043574
183.81,0.053895301
184.01,-0.937323054
184.21,-1.844411282
184.41,-2.559412977
184.61,-2.36655349
184.81,-2.37367614
185.01,-2.731796808
185.21,-3.514518691
185.41,-4.53960925
185.61,-4.221597694
185.81,-2.18390387
186.01,0.596629606
186.21,1.008783091
186.41,0.044076878
186.61,-0.801843542
186.81,-0.56586791
187.01,-0.396352017
187.21,-0.047423077
187.41,0.250384261
187.61,0.711449715
187.81,1.445600214
188.01,1.585731419
188.21,1.341837684
188.41,1.254022671
188.61,1.407472254
188.81,1.736557411
189.01,1.497449506
189.21,1.670922424
189.41,1.773987457
189.61,1.016450942
189.81,0.160163752
190.01,-0.04359785
190.21,-0.064378015
190.41,-0.496326276
190.61,-0.334974758
190.81,-0.203223444
191.01,-0.10248967
191.21,0.407276608
191.41,0.083943617
191.61,-0.576353173
191.81,-0.996192115
192.01,-1.062552173
192.21,-1.222729663
192.41,-1.607652945
192.61,-2.050631585
192.81,-2.245995888
193.01,-2.726550682
193.21,-2.391194886
193.41,-2.456083385
193.61,-2.755792517
193.81,-2.411071283
194.01,-1.961027822
194.21,-0.897894672
194.41,0.243820212
194.61,1.284823421
194.81,1.267130656
195.01,0.526436105
195.21,-0.199507329
195.41,-0.803979239
195.61,-0.051750112
195.81,0.457598844
196.01,0.68325631
196.21,0.973898452
196.41,1.180147823
196.61,1.286795583
196.81,0.785347584
197.01,-0.01747803
197.21,-0.260791978
197.41,0.399606604
197.61,1.903912757
197.81,2.494674713
198.01,2.026697454
198.21,1.501875486
198.41,0.959718856
198.61,-0.026278501
198.81,-1.693837356
199.01,-2.978999115
199.21,-3.37342467
199.41,-2.163275402
199.61,-0.285504635
199.81,0.837235288
200.01,1.270680719
200.21,1.506058424
200.41,1.790988069
200.61,1.204998041
200.81,1.732740393
201.01,1.883535348
201.21,2.267300994
201.41,2.309861305
201.61,2.210409936
201.81,1.026316636
202.01,-0.215693688
202.21,0.473197774
202.41,2.093686282
202.61,2.308096443
202.81,1.904138258
203.01,1.378097125
203.21,0.595950298
203.41,0.970884715
203.61,2.046015331
203.81,2.304080365
204.01,2.335858202
204.21,2.117738622
204.41,1.697082804
204.61,2.022326615
204.81,2.065860224
205.01,2.033987988
205.21,1.592533032
205.41,-0.426528898
205.61,-2.964284371
205.81,-3.034321574
206.01,-1.766708104
206.21,-1.017181514
206.41,-1.543203817
206.61,-0.451054508
206.81,1.302691671
207.01,1.937861981
207.21,1.980881821
207.41,1.864310987
207.61,1.233720177
207.81,1.092241944
208.01,0.857725792
208.21,1.902767301
208.41,2.505256329
208.61,1.546088074
208.81,1.49166083
209.01,1.948529827
209.21,1.748506184
209.41,0.412089739
209.61,-1.471826254
209.81,-2.785139219
210.01,-2.277897321
210.21,-0.072812322
210.41,1.440940774
210.61,2.024051696
210.81,2.495576157
211.01,3.013470943
211.21,2.748779919
211.41,2.588563237
211.61,2.94253439
211.81,2.694586608
212.01,1.503336669
212.21,0.564152419
212.41,-0.070927133
212.61,-0.155173585
212.81,-0.968082828
213.01,-1.923584481
213.21,-2.341308635
213.41,-2.419620492
213.61,-2.043564043
213.81,-1.569477108
214.01,-1.103478246
214.21,-1.035429364
214.41,0.043026714
214.61,0.624594367
214.81,0.994499411
215.01,1.061955392
215.21,1.954914825
215.41,1.952369729
215.61,2.574791274
215.81,2.463508197
216.01,1.824954135
216.21,0.951742309
216.41,1.03039487
216.61,0.881894424
216.81,-0.137187211
217.01,-0.171459049
217.21,0.859259923
217.41,1.897871467
217.61,2.56233807
217.81,2.118052817
218.01,1.717074822
218.21,1.485602967
218.41,1.427445119
218.61,1.232596884
218.81,0.870433085
219.01,0.187695834
219.21,-0.211495289
219.41,-1.148939087
219.61,-2.084439601
219.81,-1.027338497
220.01,1.166431113
220.21,1.834207429
220.41,2.368365084
220.61,1.908327335
220.81,0.247222535
221.01,-1.223114172
221.21,-1.062304118
221.41,-1.060290137
221.61,-2.868650135
221.81,-3.743673135
222.01,-3.6890888
222.21,-3.800448495
222.41,-1.954287078
222.61,1.205018504
222.81,1.66097259
223.01,-0.274677599
223.21,-0.939598892
223.41,-0.260098466
223.61,0.905989278
223.81,1.643849588
224.01,1.397874347
224.21,1.169803983
224.41,0.840275697
224.61,0.262795795
224.81,-0.563591745
225.01,-2.296464194
225.21,-2.61861505
225.41,-2.824685676
225.61,-2.688556566
225.81,-2.416450367
226.01,-2.048763108
226.21,-1.608943294
226.41,-1.360595338
226.61,-0.369422697
226.81,1.281318816
227.01,1.174529754
227.21,0.627969176
227.41,-0.245561891
227.61,-1.257320181
227.81,-1.892269446
228.01,-1.281452589
228.21,0.02980023
228.41,1.378955132
228.61,0.902003819
228.81,-0.236238497
229.01,-0.236400653
229.21,1.067195466
229.41,2.009543888
229.61,1.421671924
229.81,-0.275244334
230.01,-1.899727148
230.21,-1.224832993
230.41,1.128551257
230.61,1.699902358
230.81,0.800926836
231.01,-0.39221038
231.21,-1.111187686
231.41,-1.214528959
231.61,-1.371278714
231.81,0.107825378
232.01,1.449148332
232.21,0.458583722
232.41,-1.520675052
232.61,-1.597470868
232.81,-2.595374387
233.01,-3.826964002
233.21,-4.073820712
233.41,-3.85770795
233.61,-2.727153776
233.81,-0.568456414
234.01,0.740539162
234.21,0.208213491
234.41,-1.801074168
234.61,-2.814841221
234.81,0.22403508
235.01,2.119319267
235.21,2.253356921
235.41,1.407039271
235.61,1.256675833
235.81,0.096797406
236.01,1.106221628
236.21,2.261631707
236.41,2.587624046
236.61,1.870757222
236.81,1.497742343
237.01,0.391921451
237.21,-1.751136937
237.41,-3.425944817
237.61,-3.403874832
237.81,-3.135786541
238.01,-3.347665608
238.21,-1.974922674
238.41,0.383320045
238.61,2.681530226
238.81,2.920154469
239.01,2.048730352
239.21,-0.486566292
239.41,-1.318613954
239.61,-0.615656807
239.81,0.601426157
240.01,2.062126025
240.21,2.629030582
240.41,2.550331082
240.61,2.662085716
240.81,2.759387137
241.01,3.009685946
241.21,3.204856311
241.41,2.975462482
241.61,0.662319288
241.81,-2.088196442
242.01,-3.919950564
242.21,-4.154407959
242.41,-3.894668741
242.61,-3.658099672
242.81,-1.813952343
243.01,0.528007149
243.21,2.70411513
243.41,3.445072486
243.61,3.551400933
243.81,3.30629233
244.01,3.268238593
244.21,2.864455578
244.41,2.923226252
244.61,3.073704577
244.81,3.004798181
245.01,2.730159548
245.21,2.484798384
245.41,2.473022276
245.61,1.648245759
245.81,1.903859673
246.01,1.966003235
246.21,1.731023022
246.41,1.57126204
246.61,1.906172975
246.81,1.577280792
247.01,1.587996343
247.21,1.814755273
247.41,1.289327413
247.61,1.302823388
247.81,1.471873849
248.01,1.137678115
248.21,1.234191786
248.41,1.064960593
248.61,1.148683398
248.81,1.418985189
249.01,1.034054058
249.21,-0.269464337
249.41,-1.333377292
249.61,-2.208206317
249.81,-1.941428849
250.01,-0.807371288
250.21,-0.485628793
250.41,-0.500637658
250.61,-1.346751301
250.81,-1.487432255
251.01,-0.665678168
251.21,0.436423122
251.41,0.486251091
251.61,-0.031740932
251.81,-0.0783385
252.01,-0.375156054
252.21,0.027490509
252.41,-0.436362621
252.61,-0.781969258
252.81,-1.571922739
253.01,-2.809819775
253.21,-3.559382467
253.41,-3.830443736
253.61,-3.999984944
253.81,-4.226175988
254.01,-4.201694739
254.21,-4.529868693
254.41,-4.123371239
254.61,-4.591038023
254.81,-4.158969741
255.01,-4.465465321
255.21,-4.223851735
255.41,-4.243756334
255.61,-4.031708665
255.81,-2.931799736
256.01,-1.942777705
256.21,-0.850760681
256.41,0.00321337
256.61,0.362955396
256.81,0.021224234
257.01,-0.740021793
257.21,-1.204511967
257.41,-0.817541702
257.61,-0.826081977
257.81,-1.064489343
258.01,-0.982015724
258.21,-1.065156302
258.41,-1.346798402
258.61,-1.061821802
258.81,-0.558374487
259.01,-0.14773269
259.21,0.932585972
259.41,1.011693522
259.61,0.97324342
259.81,0.743900937
260.01,0.184321074
260.21,-0.260187815
260.41,-1.121807788
260.61,-1.148606231
260.81,-1.070721079
261.01,-0.893164126
261.21,-0.418778557
261.41,0.329004895
261.61,0.547726571
261.81,0.758217215
262.01,0.441946259
262.21,1.008314729
262.41,0.615887519
262.61,1.018375679
262.81,0.264827832
263.01,0.505732192
263.21,0.208507921
263.41,0.327135604
263.61,-0.032680431
263.81,0.047537783
264.01,-0.132163799
264.21,-0.142558957
264.41,-0.120677381
264.61,-0.134695078
264.81,-0.540085799
265.01,-0.987919605
265.21,-1.321339424
265.41,-1.520947645
265.61,-1.63652333
265.81,-1.956146019
266.01,-1.889798143
266.21,-1.893376563
266.41,-2.243734782
266.61,-2.383768251
266.81,-2.27156777
267.01,-1.832098748
267.21,-1.580331717
267.41,-1.318361415
267.61,-1.213012852
267.81,-1.337868027
268.01,-1.541588804
268.21,-1.883695684
268.41,-2.065252986
268.61,-2.481881768
268.81,-3.034795396
269.01,-3.165277687
269.21,-3.460084466
269.41,-3.702557404
269.61,-4.034757019
269.81,-4.257389427
270.01,-3.783537269
270.21,-4.069008102
270.41,-4.261791854
270.61,-4.156090211
270.81,-3.892426679
271.01,-4.183968419
271.21,-3.867534682
271.41,-4.277940071
271.61,-4.035178989
271.81,-3.97264159
272.01,-4.221300561
272.21,-4.73160853
272.41,-5.083703643
272.61,-5.085432284
272.81,-5.485679316
273.01,-5.402643517
273.21,-4.887003038
273.41,-3.385180497
273.61,-1.493445127
273.81,-0.699341337
274.01,-1.076263635
274.21,-1.917095903
274.41,-2.357324125
274.61,-2.741859814
274.81,-1.600902976
275.01,-0.61277202
275.21,0.224890654
275.41,0.728079179
275.61,1.086580241
275.81,1.357363119
276.01,1.235336152
276.21,1.424164138
276.41,1.055104172
276.61,0.301153664
276.81,-0.220878349
277.01,-1.847197728
277.21,-2.662790879
277.41,-2.797401061
277.61,-3.078547702
277.81,-3.8795345
278.01,-4.890117478